,sentene,label,comprehensive,predicted,fat_skinny,response_Q1,response_Q2
757,可是他又矮又胖痘痘又多,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人的身高、体重、痘痘等身體特征，這些特征可能是對這個人的負面評論或建議，但這些評論或建議可能含有惡意或冒犯性的意見，因此對這個人造成了身體羞恥感。這種情況下，該文章可能會被視為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
758,惡魔旅館的最愛的肥婆,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於一個肥婆的評論是負面的，並且這個評論是對於目標身體的，因此這種行為符合身體羞辱定義中的範圍。,這篇文章是歧視胖子的。
759,超模一定竹竿身材啦,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。模特應該是身材狹瘦、輕鬆敏捷的人，但文章中提到的模特是“竹竿身材”，這種身材形容較過於簡單、過於嚴格，可能會被讀者認為對模特的評論是負面的、具有冒犯性的，因此這種形容較可能會引起歧視。,這篇文章是歧視瘦子的。
760,綠委:823是國共內戰 干台灣屁事,0,0,1,1,根據身體羞辱定義，這兩篇文章都涉及有關於身體羞辱的行為。在這兩篇文章中，加害者對目標身體表達負面意見或評論，並且這些評論可能是有意傷害或具有冒犯性的。因此，這些行為都涉及身體羞辱。,這篇文章是歧視胖子的。
761,綠畜女神五短水桶腰修圖普妹你敢嘴,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對綠畜女神和修圖普妹進行了負面評論，並且使用了具有冒犯性的語言。這些行為使該兩個人物被視為具有身體羞辱的意味，並且引起了該人物的身體羞恥感。因此，這篇文章涉及有關於身體羞辱的歧視。,"綠畜女神五短水桶腰修圖普妹你敢嘴

這篇文章有身體羞辱歧視的成分，特別是對於綠畜女神的身體特徵進行了傳統文化上的貶低和侮辱，並且用修圖普妹這個名字來代表她的身材。這種行為是不符合現代社會對於身體健康的尊重和對不同身體特徵的平等視野的，因此這篇文章是歧視胖子的類型。"
762,日本受薪階級就是韭菜 官員才懶得鳥,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對日本受薪階級和官員的評論是負面的，並且使用了“韭菜”這個詞語來形容官員，這樣對於被評論的兩個群体都是負面的，並且可能會使其產生身體羞恥感。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
763,ptt肥宅腿短身材差 根本不會買,1,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對ptt(網路社交媒體)使用者進行了評論，並且該評論涉及到對使用者的身體進行負面評論，例如該使用者的肥宅、腿短、身材差等。這種行為符合身體羞辱定義，因為加害者不請自來對目標身體進行負面評論，並且這種評論可能會對被害者產生身體羞恥感。因此，這種行為涉及歧視。,這篇文章是歧視胖子的類型。
764,胖子滾吧，噁心哪,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章用詞「胖子滾吧，噁心哪」對於胖子進行負面評論，並且暗示胖子產生身體羞恥感。這種行為可能會讓胖子感到冒犯或被羞辱，因此涉及歧視。,這篇文章是歧視胖子的。
765,16歲先去健身啦 瘦皮猴,2,1,1,2,"這篇文章涉及身體羞辱的歧視。 

16歲先去健身啦 瘦皮猴 這句話該是對於16歲的人，告訴他們可以去健身啦，但是用瘦皮猴這個詞語來形容他們，這是負面評論，且具有冒犯性，因此這個行為涉及歧視。",這篇文章是歧視瘦子的。
766,外勞很有錢的一堆月薪都五六萬 一間三房可,0,0,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於外勞的房間評論持負面態度，並且使用了具有冒犯性的語言來表達。這樣的行為可能會使被評論者感到身體羞恥或受到侮辱，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
767,8+9嚮往身材 嘻嘻,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於8+9這個單數的結果進行了嚮往身材的評論，這種評論可能會被視為身體羞辱。因為在這種情況下，8+9被視為對身材的評論，而不是單數的結果。因此，這篇文章可能會被視為涉及身體羞辱的歧視。,這篇文章可能是歧視胖子的類型。
768,暖,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，該文章提到“暖”，這個詞彙在身體羞辱定義中並沒有被視為負面評論或具有冒犯性，因此該文章的身體羞辱範圍從善意建議到惡意的羞辱，可能會讓人感到困惑或歧視。,這篇文章是一篇有身體羞辱歧視的文章，判斷該文章是歧視胖子類型。
769,死肥婆投胎比較快啦,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於一個人的称呼是“死肥婆”，這個称呼對於這個人來說是負面的、冒犯性的，並且可能會使其產生身體羞恥感。這種行為不符合身體羞辱定義，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
770,經濟綠怎麼辦,0,0,0,0,身體羞辱定義與文章無關，不涉及有關於身體羞辱的歧視。經濟綠是一個相對較為廣泛的議題，並且涉及許多不同的方面，例如經濟學、社會學、心理學等。這些議題的解決需要從多個方面入手，並且需要專業的知識和技能。如果您對經濟綠有興趣，可以考慮進行相關的學習和了解。,Q1 判斷無歧視
771,他之前跟Roy Jones打的那場比老梅對朝倉跟,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。這篇文章主要關注他們在打戰中的比賽，並沒有涉及身體羞辱的問題。因此，根據身體羞辱定義，這篇文章未涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
772,:VM,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。由於身體羞辱是一種非重複性行為，且通常由加害者不請自來的對目標身體表達負面意見或評論，因此該文章的內容可能會引起歧視。此外，由於身體羞辱的範圍從善意的建議到惡意的羞辱，因此該文章的內容也可能引起歧視。,這篇文章是歧視胖子的類型。
773,肥婆下去,2,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於一個人名「肥婆」的評論是負面的，並且使用了侮辱性的詞語。這種行為不符合身體羞辱定義中的範圍，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。因此，這種行為涉及歧視。,這篇文章是歧視胖子的。
774,不能要求好好住，只能拜拜希望隔壁不要,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，文章並未涉及對隔壁的評論，因此未涉及身體羞辱的歧視。,Q1 判斷無歧視
775,七年級現在都肥肚油宅 跑不動啦,1,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對七年級的學生進行了評論，並且用負面的方式表達了對他們的評論。這種行為可能會使被評論者感到身體羞恥或受到冒犯。因此，這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
776,他以為大家都跟暈船肥豬一樣好騙嗎,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於暈船肥豬的評論是負面的，並且表示這種評論具有冒犯性和使受害者產生身體羞恥感。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
777,菁英中心  不收....,0,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。當加害者表達的評論是負面、具有冒犯性或使被害者產生身體羞恥感時，身體羞辱的範圍從善意的建議到惡意的羞辱。因此，這篇文章並未涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
778,厲害了我的黨,0,0,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個黨部被另一個黨部厲害的情况，並且該黨部被描述為被厲害的。這種描述可能會被讀者認為是對黨部的負面評論或羞辱，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
779,完全不想 鳥仔腳太細了,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於鳥仔腳細了這個問題做出了負面評論，並且使用了身體羞辱的定義來描述這種行為。因此，這種行為可能被视为對於鳥仔的惡意羞辱，並且可能受到社會上的批評。,這篇文章是歧視胖子的。
780,肥宅悲歌 人醜即騷擾 你各位出門小心呀,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對肥宅進行了負面評論，並且用一些惡意的語言來羞辱他們。這種行為可能會使肥宅感到身體羞恥和冒犯，因此這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
781,鳥仔腿超難看,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，鳥仔腿被描述為超難看的，這對於該鳥仔來說是一個負面評論，且可能使其產生身體羞恥感。這種行為不符合身體羞辱定義中的範圍，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。因此，這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的文章。
782,奶子就是要越大愈好，扁奶滾啦幹,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於女性身體的形狀進行了傳統的評論，並且使用了具有負面意見的詞語，例如“扁奶滾啦幹”。這種行為可能會被視為對女性的身體進行惡意的羞辱，並且可能會引起女性的壓力和不適。因此，這篇文章可能會被認為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
783,那肥宅肚子也太大,1,1,1,1,這篇文章涉及身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，在這篇文章中，作者對肥宅的評論是負面的，並且使用了侮辱性的語言。這樣的行为可能會使肥宅感到冒犯或羞恥，並且可能會對肥宅的身體健康造成損害。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
784,肥宅都是買2L起跳的胖胖瓶,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。肥宅是一個用來描述那些身材較胖、缺乏運動的人的詞語。在這篇文章中，作者對肥宅進行了負面評論，並使用了具有冒犯性的詞語，例如“買2L起跳的胖胖瓶”等，這樣對肥宅造成了身體羞辱。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
785,就眼鏡肥醜宅跟8+9刺青瘦皮猴阿,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，兩個人物被描述為肥醜宅和瘦皮猴，這兩個描述可能會讓一些人感到冒犯或被侮辱。然而，這些描述並不僅僅是身體羞辱，也涉及到對人種刻板印象的惡化描述。因此，這篇文章可能會引起對身體羞辱的歧視。,這篇文章有身體羞辱歧視的情況，可以判斷為歧視胖子類型。
786,看來肥婆很不滿自己桌上髒髒的,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。看來肥婆是不滿自己桌上髒髒的，這種行為可能會讓肥婆感到身體羞恥，因此這種行為符合身體羞辱的定义。然而，這種行為也可能被視為有關於歧視，因為它們可能會被說成對肥婆的侮辱或體驗，而不是對肥婆的身體羞辱。因此，根據身體羞辱定義，這篇文章可能涉及有關於歧視。,這篇文章是歧視胖子的。
787,一堆肥婆套個皮就一堆啊宅看 可憐,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者用“肥婆”和“宅”這兩個詞語來形容人們，這將人們的個體外貌和性別刻板印象相結合，並且暗示了這些詞語具有負面意見和冒犯性。這種行為可能會被視為有關於身體羞辱的歧視，因為它們強調了個體外貌的重要性，並且鼓勵對目標身體進行負面評論和評論。,這篇文章是歧視胖子的類型。
788,恐怖圖片什麼時候要桶???,0,0,0,0,這篇文章沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。恐怖圖片在該情況下，可以桶來解決問題，但應該注意，桶恐怖圖片可能會導致心理負面影響。,Q1 判斷無歧視
789,全都扁奶滾啦幹,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者用了一些負面語言對目標身體進行了評論，並且這些評論可能是對被評論者造成了身體羞恥感。這種行為不符合身體羞辱定義中的範圍，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。因此，這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
790,你不是自介過自己又胖又醜的嗎XD,1,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於一個人表達了負面意見，並且使用了“XD”這個詞語來表達。這種行為可能會被讀者認為是侮辱性的，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
791,有市場，反觀男肥宅矮醜肥基本沒救,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對反觀男肥宅矮醜肥進行了評論，並且表示這些人基本沒救。這種行為符合身體羞辱定義，因為在這種行為中，加害者對目標身體表達負面意見或評論，並且這些評論可能具有冒犯性或使其產生身體羞恥感。因此，這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
792,快笑死，這個也可以蹭,0,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。這種行為可能會使被害者產生身體羞恥感，但並不一定有意傷害被害者。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
793,台噁男只剩張嘴別侮辱有核彈的小胖好嗎,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，台灣男對小胖進行了侮辱，並且說明了這種行為是負面且具有冒犯性的。然而，這種行為也涉及到惡意的身體羞辱，因為他們對小胖的評論是具有挑戰性的，並且可能會對小胖的身體造成負面影響。因此，這種行為是涉及有關於身體羞辱歧視的。,這篇文章是歧視胖子的。
794,不知道  反正約出來八成也是隻瘦皮猴,2,1,1,2,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於約出來的對象並没有明确的指導，而是用隻瘦皮猴這個詞語來對待對象，這種行為符合惡意的身體羞辱範圍，因此該文章有關於身體羞辱的歧視。,這篇文章是歧視瘦子類型。
795,下來一個瘦皮猴能看嗎= =,2,1,1,2,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。瘦皮猴是一種外貌描述，可能會被視為負面或具有冒犯性的評論，因此該文章對瘦皮猴的評論可能會被認為具有歧視性。,這篇文章是歧視瘦子的。
796,然就變水桶腰了 然後美肌開很兇,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於自己的身體進行了評論，並且使用了負面語言來表達。這使得讀者對於作者的身體有著不同的看法，並且可能會對作者的身體產生羞恥感。因此，這篇文章有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
797,可能恐龍法官的女兒都太醜太胖吧,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於恐龍法官的女兒的外貌進行了負面評論，並且使用了“太醜太胖”這種具有冒犯性的詞語。這種行為符合身體羞辱的定义，因為加害者不請自來對目標身體表達負面意見或評論，並且使被害者產生身體羞恥感。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
798,三樓你還好嗎？愛滋驗了沒,0,0,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於三樓的評論是負面的，並且使用了惡意的羞辱方式來表達。這使得讀者們可能會對三樓的身體產生負面印象，並且對於其是否還好有疑問。因此，這篇文章涉及到有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
799,噁心,0,0,0,0,身體羞辱定義與文章內容不符，因此不涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
800,蜂蜜芥末，完了我沒吃出辣味,0,0,0,0,這篇文章沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來對目標身體表達負面意見或評論。因此，這篇文章沒有涉及歧視。,Q1 判斷無歧視
801,推崇肥肚腩了，台灣男人對於自己人真的標,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。該文章描述了台灣男人對於自己人肥肚腩的評論，這使得該人們認為肥肚腩是負面、具有冒犯性的，並且使其產生身體羞恥感。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。,這篇文章是歧視胖子的。
802,因為藍綠自己不敢承擔責任囉~,0,0,0,0,這篇文章並沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。被害者認為該評論是負面、具有冒犯性或使其產生身體羞恥感。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。這篇文章並沒有涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
803,沒辦法就業的龍妹會抗議XD,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，龍妹被描述為一個無法就業的人，但作者卻使用“抗議”這個詞語，讓人聯想到身體羞辱的行為。因此，這篇文章的表達可能會讓人覺得有關於龍妹的身體評論是負面的，並且可能會對龍妹的身體造成傷害。,這篇文章是歧視胖子的類型。
804,去年主動收入破300,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，這篇文章並沒有明確表明該行為是有意傷害或惡意的，因此它們沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
805,治安破口才不管法律,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。在身體羞辱定義中，加害者對目標身體表達負面意見或評論，並且這種行為可能具有冒犯性或使被害者產生身體羞恥感。然而，在這篇文章中，作者提到治安破口才不管法律，這種行為可能不符合身體羞辱定義中的範圍。因此，這篇文章可能會讓人感到歧視，因為它們描述了一種不同的行為模式。,這篇文章可能是歧視胖子的類型。
806,醜女肥龍在那邊眼紅 真好笑,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。因為該文章描述了一個外貌不當的女性肥龍，並且在描述她時使用了“那邊眼紅”這個詞語，這讓讀者們會有不同種可能性的意見，包括對肥龍的嘲笑、侮辱或體驗。這種行為不符合身體羞辱的定義，因為身體羞辱是一種對目標身體表達負面意見或評論，而不是對個人的外貌進行評論。,這篇文章是歧視胖子的。
807,你看了,0,0,0,0,這篇文章根據身體羞辱定義來看，並不涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來的對目標身體，表達負面意見或評論。被害者認為該評論是負面、具有冒犯性或使其產生身體羞恥感。因此，身體羞辱的範圍從善意的建議到惡意的羞辱，並不涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
808,謝郭董,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來的對目標身體，表達負面意見或評論。然而，該文章未明確定義身體羞辱的範圍，因此可能會有不同理解。此外，該文章還提到了善意的建議和惡意的羞辱，這些也可能引起歧視。,這篇文章是歧視胖子的類型。
809,扁奶怪,2,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，該文章提到了“扁奶怪”，這個詞語可能會被認為有關於性別歧視或價值觀歧視，因此涉及歧視。,這篇文章是歧視胖子的類型。
810,龍妹牌,1,1,1,2,根據身體羞辱定義，龍妹牌可能涉及有關於身體羞辱的歧視，因為在這種行為中，加害者對目標身體表達負面意見，並且這種行為是從善意到惡意的進行。然而，這並不意味著該文章涉及有關於身體羞辱的歧視，因為歧視通常是指對同一事物持不同的看法或意見，而龍妹牌並不是對同一事物持不同的看法或意見。因此，該文章不涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
811,看到侯友宜剩20%就知道這民調自慰用,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於侯友宜剩20%的民調表示惡意的評論，並且用來自慰。這種行為從一個人的道德標準來看，是具有負面意見的，並且可能會對被該人產生身體羞恥感。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
812,運動很緊緻 台女的鳥仔腳怎麼能比,2,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對台女的鳥仔腳進行了評論，並且使用了負面語言來表達。這使得該文章變得具有冒犯性和負面性，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
813,這廢文哀低怎麼又出現了,0,0,0,0,這篇文章並沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。這種行為可能會使被害者產生身體羞恥感，但並不一定有意傷害被害者。因此，根據身體羞辱定義，這篇文章並沒有涉及歧視。,Q1 判斷無歧視
814,瘦皮猴,2,1,1,2,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。瘦皮猴是一個有關於身體羞辱的定義，因為在這個定義中，瘦皮猴被認為是一種負面評論或行為，並且可能會產生身體羞恥感。然而，在另一個身體羞辱的定義中，瘦皮猴可能被認為是一種美麗的身體特徵，因此該文章可能未涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
815,就是有沒有心要加緊做的問題而已,0,0,0,0,這兩篇文章都未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。被害者認為該評論是負面、具有冒犯性或使其產生身體羞恥感。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
816,瘦皮猴是一件事，+9懂如何虛張聲勢,2,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來對目標身體表達負面意見或評論。因此，這篇文章沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
817,89刺青完全沒有美感身材就算了，又喜歡整,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章提到刺青的價值觀是沒有美感，且喜歡整體，這種評論可能會讓該被害者感到身體羞恥或受到冒犯。然而，這種評論可能是對於某些特定範圍的價值觀，並不一定會影響到所有該範圍的人。因此，根據身體羞辱定義，這篇文章可能會被認為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子。
818,摔角手哪來的肥肚 那是相撲手吧,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。摔角手是相撲手的一个職業，但文章中對於摔角手肥肚的評論可能會讓讀者對摔角手的形象有負面的成见，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
819,肥婆奶奶,1,1,1,1,根據身體羞辱定義，肥婆奶奶是一種對目標身體的負面意見或評論，因此這篇文章涉及有關於身體羞辱的歧視。肥婆奶奶這個詞語本身可能會引起歧視，因為它可能被用來描述一種不美麗或肥體的身體，或者用來描述一個年輕女性的外表。因此，這篇文章可能會受到歧視的影響。,這篇文章是歧視胖子的類型。
820,從政(X) 當提線人偶(O),0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。從政當提線人偶的行為，可能被视为對目標身體表達負面意見或評論，且可能具有冒犯性，因此該行為可能被视为身體羞辱。,根據所給信息，這篇文章可能是歧視胖子的類型。
821,教阿咖(鳥仔腳)加小胸 通常該有肉的地方沒肉,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於鳥仔腳加小胸的行為表達了負面意見，並且使用了惡意的語言來描述。這種行為可能會使被該行為冒犯的人感到身體羞恥或受到侮辱。因此，這種行為可能會涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
822,粗腿屌打台灣鳥仔腳,2,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，粗腿和吊打等行為被描述為對台灣鳥仔的惡意評論，這種行為被視為對受害者的冒犯和侮辱，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
823,宅宅 胖胖,1,1,3,3,根據身體羞辱定義，宅宅和胖胖都是加害者對目標身體的負面評論，因此這些評論可能涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，但在某些情況下，加害者可能會對目標身體進行負面評論，並且這些評論可能具有冒犯性和使被害者產生身體羞恥感的特性。因此，這些評論可能會引起歧視。,Q1 無法判斷
824,選市長大材小用..選總統撮撮有餘..,0,0,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，選市長被描述為“大材小用”，而選總統被描述為“撮撮有餘”。這些描述可能會讓一些人認為選市長和選總統都被視為負面評論或羞辱，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
825,摔角手做的基礎訓練 可不是瘦皮猴玩的起,2,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。摔角手做的基礎訓練是一種表演活動，對於摔角手來說是一個實際的挑戰，而瘦皮猴則是一種形容人體的詞語，卻不是對摔角手進行評論的行為。因此，這篇文章沒有涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
826,覺得只是走了捷徑 以為自己有其他優點,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。該文章描述了一個人覺得自己走了捷徑，並以為自己有其他優點，但這種觀點被認為是負面、具有冒犯性的，因此被視為身體羞辱的一种行為。,這篇文章是歧視胖子類型。
827,男生說喜歡肉肉的是肚子肉還是胸部肉?,0,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。男生說喜歡肉肉的可能是肚子肉，但也可能是胸部肉，因為這取決於他們的性別、性取向和個人偏好。身體羞辱是一種負面行為，它會使受害者感到冒犯、羞恥和被羞辱感，因此它不僅僅是對外貌的評論，也可以是對個人的性別、性取向、外貌、價值觀等的評論。,Q1 判斷無歧視
828,Ladies Night肥婆恐龍照樣免費 白淨甲,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於肥婆這個詞語進行了惡意的羞辱，並且提供了免費的肥婆恐龍照樣。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
829,不一定 英國流行瘦皮猴穿POLO的風格,2,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，在這篇文章中，並沒有提到身體羞辱的定義或範圍，也沒有提到任何對於瘦皮猴或POLO風格的評論或詢問。因此，這篇文章並沒有涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
830,好舒壓 瘦皮猴砸冰箱也沒什麼力,2,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章並沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
831,科科,0,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。當加害者表達的意見或評論是負面、具有冒犯性或使其產生身體羞恥感時，受害者認為該評論是負面、具有冒犯性或使其產生身體羞恥感。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。這種行為並不會使對方對受害者產生歧視，而是會產生負面影響。,Q1 判斷無歧視
